geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,,
83843,-26.0181,-49.4283,doce grande,PR,,
36248,-21.4273,-43.3603,conceicao do formoso,MG,,
36956,-20.0365,-41.3538,sao francisco do humaita,MG,,
28120,-21.7189,-43.9252,ibitioca,RJ,,
45534,-14.3501,-39.1719,taboquinhas,BA,,
59299,-8.333,-38.917,poco de pedra,RN,,
36596,-20.6107,-42.536,estevao de araujo,MG,,
42843,-12.8234,-38.2348,jaua,BA,,
29386,-20.3363,-41.3923,piacu,ES,,
85894,-24.7816,-54.2355,sao clemente,PR,,
58734,-7.137,-37.0491,passagem,PB,,
28160,-21.2202,-41.4622,santo eduardo,RJ,,
75784,-16.9216,-47.7093,domiciano ribeiro,GO,,
36857,-20.9707,-42.1812,pinhotiba,MG,,
85138,-25.53462,-51.50597,colonia jordaozinho,PR,,
35408,-20.283,-43.6442,glaura,MG,,
48967,-10.3320714,-40.1529752,nucleo residencial pilar,BA,,
49870,-10.1252,-37.1059,itabi,SE,,
28388,-20.9817,-41.8481,bom jesus do querendo,RJ,,
85118,-25.2481,-51.5483,palmeirinha,PR,,
13508,-22.28,-47.5451,ajapi,SP,,
8980,-23.5389,-45.9604,nossa senhora do remedio,SP,,
48504,-10.5523,-38.7938,aribice,BA,,
55863,-7.6534,-35.4683,siriji,PE,,
86996,-23.6105,-51.8588,sao miguel do cambui,PR,, 
35242,-19.2325,-41.6455,cuiete velho,MG,,
65137,-2.52388,-44.17825,maioba,MA,,
87323,-16.7154,-43.8542,alto sao joao,PR,,
62625,-3.6226,-39.8222,missi,CE,,
28655,-22.0764,-42.4096,monnerat,RJ,,
58286,-6.6008,-35.1457,pitanga de estrada,PB,,
28575,-21.7248,-41.9918,jaguarembe,RJ,,
25840,-22.1427,-43.0969,bemposta,RJ,,
15903,-21.4753,-48.6246,guariroba,SP,,
38710,-18.7039,-46.0443,major porto,MG,,
95572,-29.2114,-49.9347,mampituba,RS,,
95275,-29.0122,-51.3145,nova padua,RS,,
28143,-21.9484,-41.1344,mussurepe,RJ,,
35104,-18.8211,-41.6878,sao vitor,MG,,
28530,-21.7553,-42.3789,sao sebastiao do paraiba,RJ,,
39103,-18.2667,-43.6667,guinda,MG,,
85958,-24.5338,-53.7431,perola independente,PR,,
44135,-12.3833,-38.8687,humildes,BA,,
19740,-22.2696,-50.5442,bora,SP,,
65830,-7.1396,-45.3464,sambaiba,MA,,
48793,-11.0348,-38.7961,caldas do jorro,BA,,
17390,-22.4423,-48.0106,sao sebastiao da serra,SP,,
95853,-29.8943,-51.4845,polo petroquimico de triunfo,RS,,
38627,-16.1246,-47.2938,palmital de minas,MG,,
29718,-19.3095,-40.6848,angelo frechiani,ES,,
6930,-23.8782,-46.7935,cipo-guacu,SP,,
